,Identifiant aire logistique dense (e1),Région d'implantation,Numéro aires dans région,Communes concernées par l'aire logistique,Nombre d'EPL de plus de  5 000 m2,Surface totale,P_Transport_et_entreposage,P_commerce,P_industrie,P_autres,Eff_com_entreposage,EFF_EPL_5000,Poids de l'entreposage,Chargement,Déchargement,commune_clean,location,latitude,longitude
125,731,93,6,Aix-en-Provence,3 - 9,97000,0.7142857142857143,0.14285714285714285,0,0.14285714285714285,NC,NC,NC,NC,NC,Aix-en-Provence,"(43.5298424, 5.4474738)",43.5298424,5.4474738
126,732,84,18,"Saint-Laurent-de-Mure, Colombier-Saugnieu",3 - 9,94000,0.6,0.4,0,0,NC,NC,NC,NC,NC,Saint-Laurent-de-Mure,"(45.6872816, 5.0461188)",45.6872816,5.0461188
127,739,75,23,"Mont-de-Marsan, Saint-Avit",3 - 9,94000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Mont-de-Marsan,"(43.8911318, -0.500972)",43.8911318,-0.500972
128,749,24,8,"Bourges, La Chapelle-Saint-Ursin, Le Subdray",3 - 9,132000,0.3333333333333333,0.16666666666666666,0.5,0,NC,NC,NC,NC,NC,Bourges,"(47.0811658, 2.399125)",47.0811658,2.399125
129,751,44,22,"Huningue, Village-Neuf",3 - 9,28000,0.25,0,0.75,0,NC,NC,NC,NC,NC,Huningue,"(47.5941514, 7.5794613)",47.5941514,7.5794613
130,753,32,51,Itancourt,3 - 9,50000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Itancourt,"(49.8075, 3.3458333)",49.8075,3.3458333
131,764,28,3,"Le Havre, Gonfreville-l'Orcher",10 - 19,317000,0.6923076923076923,0.07692307692307693,0.23076923076923078,0,4900,400,0.06741386237375487,100,100,Le Havre,"(49.4938975, 0.1079732)",49.4938975,0.1079732
132,774,52,17,Montrevault,3 - 9,76000,0.25,0.5,0,0.25,NC,NC,NC,NC,NC,Montrevault,"(47.2574172, -1.0490777295677982)",47.2574172,-1.0490777295677982
133,778,32,23,"Verneuil-en-Halatte, Nogent-sur-Oise",3 - 9,151000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Verneuil-en-Halatte,"(49.273664, 2.5188916)",49.273664,2.5188916
134,783,24,20,Joué-lès-Tours,3 - 9,52000,0,0.5,0.25,0.25,NC,NC,NC,NC,NC,Joué-lès-Tours,"(47.3511161, 0.6622353)",47.3511161,0.6622353
135,786,53,16,Rosporden,3 - 9,39000,0,0,1,0,NC,NC,NC,NC,NC,Rosporden,"(47.9592684, -3.8278459)",47.9592684,-3.8278459
136,796,24,9,"Châlette-sur-Loing, Pannes",3 - 9,133000,0.3333333333333333,0.5,0.16666666666666666,0,NC,NC,NC,NC,NC,Châlette-sur-Loing,"(48.021751800000004, 2.738158032225153)",48.021751800000004,2.738158032225153
137,809,75,7,Cestas,3 - 9,90000,0,0.6,0.4,0,NC,NC,NC,NC,NC,Cestas,"(44.7411574, -0.6841225)",44.7411574,-0.6841225
138,810,76,15,"Canals, Grisolles",3 - 9,45000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Canals,"(43.8525, 1.2927778)",43.8525,1.2927778
139,811,53,4,"Landerneau, Plouédern, Pencran, Ploudaniel",3 - 9,44000,0.16666666666666666,0.8333333333333334,0,0,NC,NC,NC,NC,NC,Landerneau,"(48.4514803, -4.2557901)",48.4514803,-4.2557901
140,812,84,6,"Saint-Priest, Genas, Saint-Bonnet-de-Mure, Chassieu",10 - 19,167000,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.16666666666666666,3400,300,0.05956307745445125,20,20,Saint-Priest,"(44.7177, 4.54685)",44.7177,4.54685
141,821,84,39,Saint-Rambert-d'Albon,3 - 9,66000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Saint-Rambert-d'Albon,"(45.29202, 4.8147808)",45.29202,4.8147808
142,831,27,9,"Étupes, Fesches-le-Châtel",3 - 9,75000,0.75,0.25,0,0,NC,NC,NC,NC,NC,Étupes,"(47.507832, 6.8617959)",47.507832,6.8617959
143,832,27,11,Fontaine,3 - 9,25000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Fontaine,"(45.1950183, 5.6869624)",45.1950183,5.6869624
144,839,44,23,"Cernay, Vieux-Thann",3 - 9,58000,0.25,0.25,0.5,0,NC,NC,NC,NC,NC,Cernay,"(49.0211111, 0.325)",49.0211111,0.325
145,840,11,35,"Vaux-le-Pénil, Melun",3 - 9,42000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Vaux-le-Pénil,"(48.5255542, 2.6831642)",48.5255542,2.6831642
146,844,52,5,"Laval, Bonchamp-lès-Laval, Changé, Louverné",3 - 9,84000,0.42857142857142855,0.14285714285714285,0.42857142857142855,0,NC,NC,NC,NC,NC,Laval,"(48.0706687, -0.7734022)",48.0706687,-0.7734022
147,848,44,34,"Sausheim, Illzach",3 - 9,33000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Sausheim,"(47.787994, 7.3720907)",47.787994,7.3720907
148,856,53,17,"Mellac, Quimperlé",3 - 9,27000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Mellac,"(47.903995, -3.5775882)",47.903995,-3.5775882
149,862,11,26,Le Coudray-Montceaux,3 - 9,100000,1,0,0,0,NC,NC,NC,NC,NC,Le Coudray-Montceaux,"(48.5653177, 2.4855792)",48.5653177,2.4855792
150,870,24,1,"Ormes Centre Val de Loire, Saran, Ingré, Gidy",20 - 29,589000,0.7,0.2,0.05,0.05,2800,1900,0.1288525638098717,30,30,Ormes Centre Val de Loire,"(47.9418133, 1.8182308)",47.9418133,1.8182308
151,873,84,8,"Meyzieu, Jonage",10 - 19,115000,0.2,0.3,0.5,0,900,200,0.06552901023890785,10,NC,Meyzieu,"(45.7764637, 5.0044767)",45.7764637,5.0044767
152,888,32,24,"La Chapelle-d'Armentières, Bois-Grenier",3 - 9,137000,0.16666666666666666,0.8333333333333334,0,0,NC,NC,NC,NC,NC,La Chapelle-d'Armentières,"(50.6727867, 2.8965721)",50.6727867,2.8965721
153,903,84,25,"Riorges, Mably",3 - 9,59000,0.25,0.5,0.25,0,NC,NC,NC,NC,NC,Riorges,"(46.0437504, 4.0337193)",46.0437504,4.0337193
154,915,44,3,"Troyes, La Chapelle-Saint-Luc, Torvilliers, Barberey-Saint-Sulpice, La Rivière-de-Corps",10 - 19,213000,0.2857142857142857,0,0.5714285714285714,0.14285714285714285,1100,600,0.028895431250681496,10,10,Troyes,"(48.2971626, 4.0746257)",48.2971626,4.0746257
155,917,32,32,"Saint-Laurent-Blangy, Athies",3 - 9,56000,0.4,0.4,0.2,0,NC,NC,NC,NC,NC,Saint-Laurent-Blangy,"(50.2993922, 2.8016229)",50.2993922,2.8016229
156,935,52,21,Mayenne,3 - 9,18000,0,0,1,0,NC,NC,NC,NC,NC,Mayenne,"(48.1507819, -0.6491273812007092)",48.1507819,-0.6491273812007092
157,937,75,13,La Rochelle,3 - 9,31000,0.5,0.25,0,0.25,NC,NC,NC,NC,NC,La Rochelle,"(46.1591126, -1.1520434)",46.1591126,-1.1520434
158,939,84,19,Cournon-d'Auvergne,3 - 9,66000,0.4,0.6,0,0,NC,NC,NC,NC,NC,Cournon-d'Auvergne,"(45.7392306, 3.1962804)",45.7392306,3.1962804
159,941,44,5,Strasbourg,10 - 19,170000,0.5454545454545454,0.2727272727272727,0.18181818181818182,0,2700,400,0.01919764932481354,40,40,Strasbourg,"(48.584614, 7.7507127)",48.584614,7.7507127
160,944,11,14,Trappes,3 - 9,249000,0.5555555555555556,0.4444444444444444,0,0,NC,NC,NC,NC,NC,Trappes,"(48.7760957, 1.9988356)",48.7760957,1.9988356
161,947,76,9,Nîmes,3 - 9,75000,0.2,0.8,0,0,NC,NC,NC,NC,NC,Nîmes,"(43.8374249, 4.3600687)",43.8374249,4.3600687
162,948,24,6,"Saint-Pierre-des-Corps, Tours, La Ville-aux-Dames",3 - 9,80000,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,NC,NC,NC,NC,NC,Saint-Pierre-des-Corps,"(47.3898152, 0.7189761)",47.3898152,0.7189761
163,949,44,35,"Duppigheim, Duttlenheim",3 - 9,60000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Duppigheim,"(48.5281292, 7.5894588)",48.5281292,7.5894588
164,961,32,33,"Méru, Amblainville",3 - 9,95000,0.2,0.4,0.4,0,NC,NC,NC,NC,NC,Méru,"(49.2361978, 2.1355087)",49.2361978,2.1355087
165,977,44,4,"Ennery, Flévy, Trémery",10 - 19,274000,0.46153846153846156,0.38461538461538464,0.15384615384615385,0,1100,600,0.15535739166782778,10,10,Ennery,"(49.2256191, 6.2197994)",49.2256191,6.2197994
166,1018,84,3,"Saint-Fons, Vénissieux, Lyon, Saint-Genis-Laval, Irigny, La Mulatière, Feyzin",10 - 19,376000,0.21052631578947367,0.3684210526315789,0.42105263157894735,0,2600,900,0.049149553444450766,20,20,Saint-Fons,"(45.7001, 4.84935)",45.7001,4.84935
167,1020,93,11,Salon-de-Provence,3 - 9,128000,0.5,0.5,0,0,NC,NC,NC,NC,NC,Salon-de-Provence,"(43.6405237, 5.0980225)",43.6405237,5.0980225
168,1022,24,14,Dreux,3 - 9,35000,0.6,0,0.2,0.2,NC,NC,NC,NC,NC,Dreux,"(48.7358807, 1.3684254)",48.7358807,1.3684254
169,1032,24,25,Briare,3 - 9,37000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Briare,"(47.6410716, 2.7413128)",47.6410716,2.7413128
170,1033,32,39,"Angres, Bully-les-Mines, Liévin",3 - 9,58000,0.5,0.25,0.25,0,NC,NC,NC,NC,NC,Angres,"(50.4091556, 2.7561083)",50.4091556,2.7561083
171,1034,32,40,"Glisy, Boves",3 - 9,69000,0.25,0.5,0.25,0,NC,NC,NC,NC,NC,Glisy,"(49.8772863, 2.3967217)",49.8772863,2.3967217
172,1041,32,25,Béthune,3 - 9,117000,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,NC,NC,NC,NC,NC,Béthune,"(50.5292608, 2.6402097)",50.5292608,2.6402097
173,1064,75,24,Cestas,3 - 9,114000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Cestas,"(44.7411574, -0.6841225)",44.7411574,-0.6841225
174,1068,75,25,"Saint-Sever, Aurice",3 - 9,41000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Saint-Sever,"(43.757456, -0.574187)",43.757456,-0.574187
175,1078,52,8,Le Mans,3 - 9,133000,0.16666666666666666,0.6666666666666666,0.16666666666666666,0,NC,NC,NC,NC,NC,Le Mans,"(48.0073849, 0.1967849)",48.0073849,0.1967849
176,1084,27,1,Mâcon,10 - 19,172000,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.15384615384615385,800,400,0.03188429958737965,20,20,Mâcon,"(46.3036683, 4.8322266)",46.3036683,4.8322266
177,1086,53,18,Le Rheu,3 - 9,98000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Le Rheu,"(48.1006715, -1.7937675)",48.1006715,-1.7937675
178,1097,84,11,"Annecy, Argonay, Cran-Gevrier, Pringy, Seynod",3 - 9,89000,0.25,0.25,0.375,0.125,NC,NC,NC,NC,NC,Annecy,"(45.8992348, 6.1288847)",45.8992348,6.1288847
179,1121,76,1,"Castelnau-d'Estrétefonds, Villeneuve-lès-Bouloc",10 - 19,292000,0.46153846153846156,0.46153846153846156,0,0.07692307692307693,800,600,0.1904014352993945,10,10,Castelnau-d'Estrétefonds,"(43.78251, 1.3590892)",43.78251,1.3590892
180,1123,27,12,Sevrey,3 - 9,44000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Sevrey,"(46.7382911, 4.840874)",46.7382911,4.840874
181,1127,52,9,"Cholet, La Séguinière",3 - 9,248000,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,NC,NC,NC,NC,NC,Cholet,"(47.0617293, -0.8801349)",47.0617293,-0.8801349
182,1140,24,15,"Montierchaume, Déols",3 - 9,81000,0.4,0.2,0.4,0,NC,NC,NC,NC,NC,Montierchaume,"(46.8639828, 1.7716348)",46.8639828,1.7716348
183,1147,93,1,"Grans, Miramas",10 - 19,483000,0.8333333333333334,0.1111111111111111,0.05555555555555555,0,900,500,0.14224683544303798,20,20,Grans,"(43.606758, 5.063379)",43.606758,5.063379
184,1152,11,27,Châtres,3 - 9,170000,1,0,0,0,NC,NC,NC,NC,NC,Châtres,"(45.18516, 1.19692)",45.18516,1.19692
185,1153,84,26,"La Boisse, Dagneux",3 - 9,33000,0.5,0.25,0.25,0,NC,NC,NC,NC,NC,La Boisse,"(45.8416901, 5.0328806)",45.8416901,5.0328806
186,1158,28,1,"Le Grand-Quevilly, Rouen, Canteleu, Le Petit-Quevilly",10 - 19,284000,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,1700,500,0.01688023408334174,80,80,Le Grand-Quevilly,"(49.4068986, 1.0507926)",49.4068986,1.0507926
187,1171,76,11,Sète,3 - 9,87000,0.5,0.25,0,0.25,NC,NC,NC,NC,NC,Sète,"(43.4014434, 3.6959771)",43.4014434,3.6959771
188,1173,32,26,Dourges,3 - 9,167000,0.6666666666666666,0.3333333333333333,0,0,NC,NC,NC,NC,NC,Dourges,"(50.4340484, 2.9844016)",50.4340484,2.9844016
189,1179,11,9,"Compans, Mitry-Mory",20 - 29,402000,0.55,0.3,0.1,0.05,1500,800,0.14534940703714594,20,20,Compans,"(48.9936994, 2.6623623)",48.9936994,2.6623623
190,1183,75,26,"Châteaubernard, Cognac, Merpins",3 - 9,31000,0,0,0.6666666666666666,0.3333333333333333,NC,NC,NC,NC,NC,Châteaubernard,"(45.6738081, -0.3151879)",45.6738081,-0.3151879
191,1188,27,13,"Moirans-en-Montagne, Lavans-lès-Saint-Claude",3 - 9,44000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Moirans-en-Montagne,"(46.431063, 5.7255731)",46.431063,5.7255731
192,1192,84,40,La Voulte-sur-Rhône,3 - 9,51000,0,0,0.3333333333333333,0.6666666666666666,NC,NC,NC,NC,NC,La Voulte-sur-Rhône,"(44.8000756, 4.7813846)",44.8000756,4.7813846
193,1197,28,6,"Saint-Vigor-d'Ymonville, Sandouville",10 - 19,298000,0.7272727272727273,0,0.2727272727272727,0,700,300,0.10302091402013942,10,10,Saint-Vigor-d'Ymonville,"(49.49563, 0.3599616)",49.49563,0.3599616
194,1203,32,34,"Tilloy-lez-Cambrai, Raillencourt-Sainte-Olle, Sailly-lez-Cambrai",3 - 9,132000,0.4,0.4,0.2,0,NC,NC,NC,NC,NC,Tilloy-lez-Cambrai,"(50.1970157, 3.2209687)",50.1970157,3.2209687
195,1223,52,6,Saint-Aignan-Grandlieu,3 - 9,236000,0.2857142857142857,0.5714285714285714,0.14285714285714285,0,NC,NC,NC,NC,NC,Saint-Aignan-Grandlieu,"(47.1224436, -1.6345992)",47.1224436,-1.6345992
196,1233,24,10,Châteauroux,3 - 9,117000,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,NC,NC,NC,NC,NC,Châteauroux,"(46.8203785, 1.6770956)",46.8203785,1.6770956
197,1238,44,36,"Fegersheim, Illkirch-Graffenstaden, Lipsheim",3 - 9,24000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Fegersheim,"(48.4897313, 7.6798031)",48.4897313,7.6798031
198,1254,84,12,"Échirolles, Grenoble, Eybens",3 - 9,62000,0.125,0.625,0.25,0,NC,NC,NC,NC,NC,Échirolles,"(45.1437, 5.71927)",45.1437,5.71927
199,1258,28,10,"Grand-Couronne, Moulineaux",3 - 9,53000,1,0,0,0,NC,NC,NC,NC,NC,Grand-Couronne,"(49.3534994, 1.0043489)",49.3534994,1.0043489
200,1262,32,52,"Corbie, Aubigny",3 - 9,45000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Corbie,"(49.9082911, 2.5110728)",49.9082911,2.5110728
201,1263,24,26,Selles-sur-Cher,3 - 9,55000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Selles-sur-Cher,"(47.2769, 1.56301)",47.2769,1.56301
202,1265,11,36,"Bussy-Saint-Martin, Collégien, Torcy",3 - 9,33000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Bussy-Saint-Martin,"(48.8485248, 2.6921301)",48.8485248,2.6921301
203,1277,11,4,"Saint-Ouen-l'Aumône, Éragny, Herblay, Conflans-Sainte-Honorine",30 - 39,553000,0.46875,0.28125,0.15625,0.09375,3100,1400,0.07204911386540021,20,20,Saint-Ouen-l'Aumône,"(49.044765, 2.1059841)",49.044765,2.1059841
204,1290,44,24,"Buchères, Saint-Thibault",3 - 9,80000,0.5,0.5,0,0,NC,NC,NC,NC,NC,Buchères,"(48.2357998, 4.1099922)",48.2357998,4.1099922
205,1309,53,19,Lamballe,3 - 9,16000,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,NC,NC,NC,NC,NC,Lamballe,"(48.46244615, -2.516502292079859)",48.46244615,-2.516502292079859
206,1313,75,1,"Blanquefort, Bruges, Parempuyre",10 - 19,238000,0.6,0.26666666666666666,0.06666666666666667,0.06666666666666667,1100,300,0.05528985126399327,10,10,Blanquefort,"(44.9088982, -0.6300363)",44.9088982,-0.6300363
207,1314,75,4,Beychac-et-Caillau,3 - 9,77000,0.16666666666666666,0.8333333333333334,0,0,NC,NC,NC,NC,NC,Beychac-et-Caillau,"(44.86942, -0.37137)",44.86942,-0.37137
208,1320,75,2,"Saint-Loubès, Ambarès-et-Lagrave, Carbon-Blanc",3 - 9,134000,0.2222222222222222,0.4444444444444444,0.3333333333333333,0,NC,NC,NC,NC,NC,Saint-Loubès,"(44.9167311, -0.4271005)",44.9167311,-0.4271005
209,1337,32,3,"Hem, Leers, Lys-lez-Lannoy, Roubaix, Toufflers, Wasquehal, Wattrelos",10 - 19,408000,0.42105263157894735,0.21052631578947367,0.2631578947368421,0.10526315789473684,3300,1200,0.04659518488131949,20,20,Hem,"(50.6540895, 3.1839429)",50.6540895,3.1839429
210,1347,11,19,Limay,3 - 9,96000,0.5,0.16666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Limay,"(48.9921015, 1.7353686)",48.9921015,1.7353686
211,1349,32,41,Le Meux,3 - 9,67000,0.25,0,0.5,0.25,NC,NC,NC,NC,NC,Le Meux,"(49.3669433, 2.7439069)",49.3669433,2.7439069
212,1350,44,25,La Veuve,3 - 9,61000,0.5,0.5,0,0,NC,NC,NC,NC,NC,La Veuve,"(49.0306202, 4.3161662)",49.0306202,4.3161662
213,1361,44,26,"Saint-Dizier, Bettancourt-la-Ferrée",3 - 9,48000,0.75,0,0.25,0,NC,NC,NC,NC,NC,Saint-Dizier,"(48.6371125, 4.9473513)",48.6371125,4.9473513
214,1374,76,4,"Saint-Alban, Bruguières, Lespinasse, Saint-Jory",3 - 9,52000,0.5714285714285714,0.2857142857142857,0,0.14285714285714285,NC,NC,NC,NC,NC,Saint-Alban,"(43.6923207, 1.4135768)",43.6923207,1.4135768
215,1402,52,18,Les Herbiers,3 - 9,51000,0,0,0.75,0.25,NC,NC,NC,NC,NC,Les Herbiers,"(46.8714322, -1.0150302)",46.8714322,-1.0150302
216,1413,32,11,"Feignies, Maubeuge, Hautmont, Louvroil",3 - 9,286000,0.2222222222222222,0,0.6666666666666666,0.1111111111111111,NC,NC,NC,NC,NC,Feignies,"(50.2954202, 3.914409)",50.2954202,3.914409
217,1420,44,27,Champigneulles,3 - 9,71000,0,0.5,0.25,0.25,NC,NC,NC,NC,NC,Champigneulles,"(48.7342216, 6.1651167)",48.7342216,6.1651167
218,1433,84,41,Colombier-Saugnieu,3 - 9,29000,1,0,0,0,NC,NC,NC,NC,NC,Colombier-Saugnieu,"(45.7113787, 5.1119241)",45.7113787,5.1119241
219,1440,32,53,Moreuil,3 - 9,76000,0,0,0.3333333333333333,0.6666666666666666,NC,NC,NC,NC,NC,Moreuil,"(49.7705466, 2.486822)",49.7705466,2.486822
220,1452,24,2,"Meung-sur-Loire, Baule",10 - 19,272000,0.45454545454545453,0.45454545454545453,0.09090909090909091,0,400,300,0.11536388140161725,NC,NC,Meung-sur-Loire,"(47.8268972, 1.6968055)",47.8268972,1.6968055
221,1456,27,14,"Dijon, Saint-Apollinaire",3 - 9,28000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Dijon,"(47.3215806, 5.0414701)",47.3215806,5.0414701
222,1459,28,16,Honfleur,3 - 9,47000,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,NC,NC,NC,NC,NC,Honfleur,"(49.4197222, 0.2338889)",49.4197222,0.2338889
223,1461,52,4,"Allonnes, Le Mans",3 - 9,135000,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,NC,NC,NC,NC,NC,Allonnes,"(48.3304943, 1.6561556)",48.3304943,1.6561556
224,1472,84,15,"Portes-lès-Valence, Valence",3 - 9,190000,0.16666666666666666,0.6666666666666666,0,0.16666666666666666,NC,NC,NC,NC,NC,Portes-lès-Valence,"(44.8753434, 4.8774936)",44.8753434,4.8774936
225,1496,93,7,Marseille,3 - 9,71000,0.7142857142857143,0.14285714285714285,0,0.14285714285714285,NC,NC,NC,NC,NC,Marseille,"(43.2961743, 5.3699525)",43.2961743,5.3699525
226,1504,52,7,"Nantes, Rezé, Bouguenais",3 - 9,94000,0.2857142857142857,0.5714285714285714,0.14285714285714285,0,NC,NC,NC,NC,NC,Nantes,"(47.2186371, -1.5541362)",47.2186371,-1.5541362
227,1505,76,16,"Balma, Toulouse",3 - 9,23000,0,1,0,0,NC,NC,NC,NC,NC,Balma,"(43.6112217, 1.5057917)",43.6112217,1.5057917
228,1545,24,21,"Fleury-les-Aubrais, Semoy",3 - 9,31000,0.25,0,0.5,0.25,NC,NC,NC,NC,NC,Fleury-les-Aubrais,"(47.9309156, 1.9208883)",47.9309156,1.9208883
229,1551,75,8,Rochefort,3 - 9,51000,0.6,0,0.2,0.2,NC,NC,NC,NC,NC,Rochefort,"(45.9438412, -0.9687519)",45.9438412,-0.9687519
230,1565,53,7,"Bruz, Noyal-Châtillon-sur-Seiche",3 - 9,102000,0.75,0.25,0,0,NC,NC,NC,NC,NC,Bruz,"(48.0245814, -1.7471629)",48.0245814,-1.7471629
231,1600,28,17,"Eu, Le Tréport",3 - 9,62000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Eu,"(50.0491699, 1.4175744)",50.0491699,1.4175744
232,1615,28,18,Bourgtheroulde-Infreville,3 - 9,21000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Bourgtheroulde-Infreville,"(49.29928105, 0.8780649692233152)",49.29928105,0.8780649692233152
233,1627,44,7,"Hoerdt, Reichstett, La Wantzenau",3 - 9,137000,0.625,0.25,0.125,0,NC,NC,NC,NC,NC,Hoerdt,"(48.698517, 7.7837447)",48.698517,7.7837447
234,1631,75,27,"Le Passage, Estillac",3 - 9,27000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Le Passage,"(45.5326, 5.51253)",45.5326,5.51253
235,1633,76,17,Valence,3 - 9,57000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Valence,"(44.9332277, 4.8920811)",44.9332277,4.8920811
236,1635,44,17,"Wittenheim, Kingersheim, Richwiller",3 - 9,72000,0.2,0.6,0.2,0,NC,NC,NC,NC,NC,Wittenheim,"(47.8080799, 7.3373681)",47.8080799,7.3373681
237,1639,93,12,Martigues,3 - 9,32000,0.5,0,0.25,0.25,NC,NC,NC,NC,NC,Martigues,"(43.4057279, 5.0548176)",43.4057279,5.0548176
238,1646,76,3,Perpignan,10 - 19,79000,0.45454545454545453,0.45454545454545453,0,0.09090909090909091,1600,200,0.02694759146289366,30,30,Perpignan,"(42.6985304, 2.8953121)",42.6985304,2.8953121
239,1668,44,2,"Strasbourg, Schiltigheim",10 - 19,336000,0.25,0.5,0.25,0,3100,700,0.01892267325204507,40,40,Strasbourg,"(48.584614, 7.7507127)",48.584614,7.7507127
240,1697,32,54,Villers-Cotterêts,3 - 9,94000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Villers-Cotterêts,"(49.2549479, 3.0909275)",49.2549479,3.0909275
241,1712,32,27,"Boulogne-sur-Mer, Outreau, Le Portel",3 - 9,119000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Boulogne-sur-Mer,"(50.7259985, 1.6118771)",50.7259985,1.6118771
242,1736,27,7,"Beaune, Levernois, Vignoles",3 - 9,90000,0.16666666666666666,0.5,0.3333333333333333,0,NC,NC,NC,NC,NC,Beaune,"(47.0239064, 4.8380426)",47.0239064,4.8380426
243,1753,84,42,"Arbent, Oyonnax",3 - 9,50000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Arbent,"(46.2946684, 5.680467)",46.2946684,5.680467
244,1765,44,14,Obernai,3 - 9,278000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Obernai,"(48.4623358, 7.4817123)",48.4623358,7.4817123
245,1771,32,42,Bailleul,3 - 9,45000,0.25,0,0.75,0,NC,NC,NC,NC,NC,Bailleul,"(50.7396668, 2.7349286)",50.7396668,2.7349286
246,1785,44,37,"Steinbourg, Monswiller",3 - 9,26000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Steinbourg,"(48.7692184, 7.4133351)",48.7692184,7.4133351
247,1791,11,37,"Herblay, Beauchamp",3 - 9,18000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Herblay,"(48.9898588, 2.166162)",48.9898588,2.166162
248,1799,32,28,Houplines,3 - 9,117000,0.5,0.3333333333333333,0.16666666666666666,0,NC,NC,NC,NC,NC,Houplines,"(50.6904589, 2.9104189)",50.6904589,2.9104189
249,1831,75,14,"Mérignac, Saint-Médard-en-Jalles",3 - 9,27000,0,0.25,0.5,0.25,NC,NC,NC,NC,NC,Mérignac,"(44.842168, -0.6469022)",44.842168,-0.6469022
250,1841,11,28,Tigery,3 - 9,55000,0.5,0.5,0,0,NC,NC,NC,NC,NC,Tigery,"(48.6396178, 2.5064593)",48.6396178,2.5064593
251,1857,84,20,"Saint-Paul-Trois-Châteaux, Pierrelatte",3 - 9,95000,0.2,0.4,0.2,0.2,NC,NC,NC,NC,NC,Saint-Paul-Trois-Châteaux,"(44.3475554, 4.7707325)",44.3475554,4.7707325
252,1867,84,14,"Chambéry, La Motte-Servolex",3 - 9,88000,0.14285714285714285,0.42857142857142855,0.42857142857142855,0,NC,NC,NC,NC,NC,Chambéry,"(45.5662672, 5.9203636)",45.5662672,5.9203636
253,1868,84,43,Belmont-Tramonet,3 - 9,32000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Belmont-Tramonet,"(45.559, 5.68265)",45.559,5.68265
254,1887,27,15,Migennes,3 - 9,59000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Migennes,"(47.9647312, 3.5225691)",47.9647312,3.5225691
255,1889,24,22,Lucé,3 - 9,42000,0.25,0.5,0,0.25,NC,NC,NC,NC,NC,Lucé,"(48.5500968, -0.595787)",48.5500968,-0.595787
