,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station
521,1138.9213049581679,0,0.569460652479084,0.1372591177411941,48.31368299170269,road,medium
529,1138.9213049581679,0,0.569460652479084,0.4461581678320697,49.014554227369786,road,medium
533,1138.9213049581679,0,0.569460652479084,0.7750775876687983,49.24673941473765,road,medium
542,1260.342293849815,0,0.6301711469249075,0.8451868246842429,49.652104998824754,road,medium
548,1260.342293849815,0,0.6301711469249075,2.239440433788444,49.84777227187714,road,medium
559,1260.342293849815,0,0.6301711469249075,3.085667516169272,49.84332819128316,road,medium
572,2827.084852465551,1,0.7067712131163878,5.164026036686764,47.344957414347725,road,large
584,2827.084852465551,1,0.7067712131163878,5.287071457819081,47.93015943864478,road,large
595,2827.084852465551,1,0.7067712131163878,5.899673413273241,48.48507948650719,road,large
618,2827.084852465551,1,0.7067712131163878,6.106938436318125,49.36241531782738,road,large
619,2827.084852465551,1,0.7067712131163878,6.115261447330646,49.43271226676324,road,large
631,4391.903454072882,1,1.0979758635182204,6.153166770390324,47.33582344280961,road,large
643,4391.903454072882,1,1.0979758635182204,5.319601368458224,47.07060581767057,road,large
644,4391.903454072882,1,1.0979758635182204,5.170233439193096,47.0324649998648,road,large
651,4940.7075726796165,1,1.235176893169904,5.570934439353717,46.85249787588068,road,large
661,4940.7075726796165,1,1.235176893169904,5.259852652232238,46.2505864195335,road,large
672,2165.070380515949,0,0.5412675951289873,6.121349292853746,46.13739312931851,road,large
685,2165.070380515949,0,0.5412675951289873,5.320898732225743,46.071392555176445,road,large
696,2165.070380515949,0,0.5412675951289873,4.847440113139186,46.33950523955605,road,large
711,2286.217144062611,0,0.5715542860156528,6.119370905907633,45.95156571117745,road,large
715,2286.217144062611,0,0.5715542860156528,6.08140837756378,46.04842174326117,road,large
732,5263.923020878167,1,1.315980755219542,5.967752745953975,45.53691896100016,road,large
737,5263.923020878167,1,1.315980755219542,6.215159830563675,45.56495265441731,road,large
744,870.0644343908974,0,0.8700644343908974,5.892679475096784,43.92093082818442,road,small
749,870.0644343908974,0,0.8700644343908974,5.909432935539891,44.25233115102172,road,small
755,4797.222221021053,1,1.1993055552552632,1.9450172595926865,43.28841170379598,road,large
760,4797.222221021053,1,1.1993055552552632,2.741948745288952,43.16890067197148,road,large
767,2025.4662226375137,0,0.5063665556593784,-0.0159963720311231,44.49663928870144,road,large
771,2025.4662226375137,0,0.5063665556593784,0.6227616634793093,44.14766528731921,road,large
781,2025.4662226375137,0,0.5063665556593784,1.3852295103694752,43.76672533868904,road,large
782,2025.4662226375137,0,0.5063665556593784,1.401982162269939,43.71629670670593,road,large
799,1153.8745555025591,0,0.5769372777512796,-0.7476757058331658,43.46925082476937,road,medium
813,1153.8745555025591,0,0.5769372777512796,0.2082169733979421,43.199275973231714,road,medium
825,1153.8745555025591,0,0.5769372777512796,1.0766427322006558,43.237761716149365,road,medium
833,1153.8745555025591,0,0.5769372777512796,1.320546000542573,43.47577027898601,road,medium
838,491.73932351383854,0,0.49173932351383853,-0.3366152764570914,44.0464830187114,road,small
843,491.73932351383854,0,0.49173932351383853,-0.2975628194214631,43.56125208330462,road,small
844,491.73932351383854,0,0.49173932351383853,-0.3209654016669961,43.46631296682777,road,small
850,1877.2455661976057,1,0.9386227830988029,2.021115552013488,47.41778759850708,road,medium
856,1877.2455661976057,1,0.9386227830988029,2.1194176536925013,47.20800802246639,road,medium
861,1877.2455661976057,1,0.9386227830988029,2.7147035729468505,46.39720704321254,road,medium
869,1877.2455661976057,1,0.9386227830988029,3.160583961957347,45.8433306210893,road,medium
878,1951.8533765922832,1,0.9759266882961416,3.242238178209452,44.64130089663044,road,medium
885,1951.8533765922832,1,0.9759266882961416,3.446472928662317,43.65626162907388,road,medium
889,1951.8533765922832,1,0.9759266882961416,3.283802841060554,43.34566879882294,road,medium
899,2040.986250561749,0,0.5102465626404373,2.951063744627578,47.30018865494113,road,large
900,2040.986250561749,0,0.5102465626404373,3.081233535497568,47.09635978596418,road,large
905,2620.3765445824224,1,0.6550941361456056,-0.4832184981693014,48.0564616153189,road,large
907,2620.3765445824224,1,0.6550941361456056,-0.8332726566831677,48.107485998025794,road,large
916,2072.553214634757,0,0.5181383036586892,-1.1988541706329716,46.79219050747887,road,large
926,2072.553214634757,0,0.5181383036586892,-0.3374871709078039,46.35543598669601,road,large
935,3808.6480336637255,1,0.9521620084159313,-1.3371337656867957,48.62398785047724,road,large
948,3808.6480336637255,1,0.9521620084159313,-0.4672361667078279,49.158923933145935,road,large
957,1045.8316042080746,0,0.5229158021040373,0.3444478151407562,47.32929681268242,road,medium
969,1045.8316042080746,0,0.5229158021040373,1.356502768182869,47.30560380105392,road,medium
971,1045.8316042080746,0,0.5229158021040373,1.768895587104402,47.32104699563461,road,medium
982,1259.374669035348,0,0.629687334517674,-1.0411323821230722,46.915891887742994,road,medium
984,1259.374669035348,0,0.629687334517674,-1.206994730148052,46.808875517016055,road,medium
989,556.6079922516235,0,0.5566079922516235,0.15343419226939,44.98289902856089,road,small
999,556.6079922516235,0,0.5566079922516235,1.366871598964797,45.15428923664186,road,small
1006,556.6079922516235,0,0.5566079922516235,2.0207572873228643,45.41204149917392,road,small
1016,556.6079922516235,0,0.5566079922516235,2.817444688041752,45.83388367325603,road,small
1038,556.6079922516235,0,0.5566079922516235,3.826026845860688,45.86772344705143,road,small
1046,556.6079922516235,0,0.5566079922516235,4.521912152334252,45.874087215529904,road,small
1099,915.5598762559746,1,0.9155598762559746,3.790946965416509,46.21544873146249,road,small
1194,915.5598762559746,1,0.9155598762559746,4.832214836405679,45.481935382221394,road,small
1291,915.5598762559746,1,0.9155598762559746,4.855446454172127,44.80628440800346,road,small
1409,915.5598762559746,1,0.9155598762559746,4.6924092454054565,44.361930695795664,road,small
1438,1997.8830325894428,1,0.9989415162947214,1.2307826173404142,47.97737559754724,road,medium
1452,1997.8830325894428,1,0.9989415162947214,0.1601671345671602,46.2114804408092,road,medium
1463,1997.8830325894428,1,0.9989415162947214,-0.2289432110130343,45.32195960312026,road,medium
1465,1997.8830325894428,1,0.9989415162947214,-0.2734496792394273,45.24043326446728,road,medium
1482,1233.870998599005,0,0.6169354992995024,0.6990970842885658,48.60336690769223,road,medium
1504,1233.870998599005,0,0.6169354992995024,-1.7709900507375231,48.13857581889598,road,medium
1511,1233.870998599005,0,0.6169354992995024,-2.6897274684972867,48.48270726177108,road,medium
