,Région d'implantation,centroid,centroid_coord,h2_kg_demand,stations_type,latitude,longitude,station_utilization_rate
44,27,7,[46.66163977  4.85306528],1630.72,medium,46.66163977,4.85306528,Util. rate = 81.54%
45,27,8,[47.7497988   3.66673797],680.96,small,47.7497988,3.66673797,Util. rate = 68.1%
46,27,9,[45.1950183  5.6869624],71.67999999999999,small,45.1950183,5.6869624,Util. rate = 7.17%
47,27,10,[47.23182447  5.01880357],1379.8400000000001,medium,47.23182447,5.01880357,Util. rate = 68.99%
48,27,11,[46.431063   5.7255731],143.35999999999999,small,46.431063,5.7255731,Util. rate = 14.34%
49,28,0,[49.29928105  0.87806497],71.67999999999999,small,49.29928105,0.87806497,Util. rate = 7.17%
50,28,1,[49.15859605  1.23237   ],1523.1999999999998,medium,49.15859605,1.23237,Util. rate = 76.16%
51,28,2,[49.38376372  1.05857804],1720.32,medium,49.38376372,1.05857804,Util. rate = 86.02%
52,28,3,[49.4661002   0.18938066],3906.56,large,49.4661002,0.18938066,Util. rate = 97.66%
53,28,4,[49.9956745  2.3141984],107.52000000000001,small,49.9956745,2.3141984,Util. rate = 10.75%
54,28,5,[ 4.874289e+01 -2.233860e-02],197.12,small,,4.874289e+01-2.233860e-02,Util. rate = 19.71%
55,28,6,[50.0491699  1.4175744],197.12,small,50.0491699,1.4175744,Util. rate = 19.71%
56,28,7,[49.5072291  0.4471863],1308.16,medium,49.5072291,0.4471863,Util. rate = 65.41%
57,28,8,[49.18029815 -0.3806945 ],788.48,small,49.18029815,-0.3806945,Util. rate = 78.85%
58,28,9,[48.8517468  -0.88725945],215.04000000000002,small,48.8517468,-0.88725945,Util. rate = 21.5%
59,32,0,[49.2549479  3.0909275],304.64,small,49.2549479,3.0909275,Util. rate = 30.46%
60,32,1,[49.5107071  2.9231228],161.28,small,49.5107071,2.9231228,Util. rate = 16.13%
61,32,2,[50.7396639  2.3062068],1039.3600000000001,medium,50.7396639,2.3062068,Util. rate = 51.97%
62,32,3,[50.7653265  3.0066319],286.71999999999997,small,50.7653265,3.0066319,Util. rate = 28.67%
63,32,4,[49.3576636  2.7176908],1057.28,medium,49.3576636,2.7176908,Util. rate = 52.86%
64,32,5,[49.26489755  2.47657425],824.3199999999999,small,49.26489755,2.47657425,Util. rate = 82.43%
65,32,6,[49.8625737  2.4225779],1057.28,medium,49.8625737,2.4225779,Util. rate = 52.86%
66,32,7,[50.4047303   3.40286533],1057.28,medium,50.4047303,3.40286533,Util. rate = 52.86%
67,32,8,[49.7585799  2.7962063],573.44,small,49.7585799,2.7962063,Util. rate = 57.34%
68,32,9,[50.2954202  3.914409 ],913.9200000000001,small,50.2954202,3.914409,Util. rate = 91.39%
69,32,10,[49.4179497  2.8263171],340.47999999999996,small,49.4179497,2.8263171,Util. rate = 34.05%
70,32,11,[50.4625336  3.0166071],2705.92,large,50.4625336,3.0166071,Util. rate = 67.65%
71,32,12,[50.37180173  3.54222537],1469.44,medium,50.37180173,3.54222537,Util. rate = 73.47%
72,32,13,[49.825      3.2705556],591.36,small,49.825,3.2705556,Util. rate = 59.14%
73,32,14,[49.33314875  2.1089221 ],573.4399999999999,small,49.33314875,2.1089221,Util. rate = 57.34%
74,32,15,[50.2671125   3.12169925],770.56,small,50.2671125,3.12169925,Util. rate = 77.06%
75,32,16,[49.564665  3.620686],179.2,small,49.564665,3.620686,Util. rate = 17.92%
76,32,17,[50.5132793   2.66003735],483.84000000000003,small,50.5132793,2.66003735,Util. rate = 48.38%
77,32,18,[49.24458335  3.35388885],1021.44,medium,49.24458335,3.35388885,Util. rate = 51.07%
78,32,19,[49.0859622  2.7442236],1182.72,medium,49.0859622,2.7442236,Util. rate = 59.14%
79,32,20,[49.8075     3.3458333],161.28,small,49.8075,3.3458333,Util. rate = 16.13%
80,32,21,[50.9946103  2.2192457],1236.48,medium,50.9946103,2.2192457,Util. rate = 61.82%
81,32,22,[50.62648497  3.11914703],3816.96,large,50.62648497,3.11914703,Util. rate = 95.42%
82,32,23,[50.2706461  2.8939069],215.04000000000002,small,50.2706461,2.8939069,Util. rate = 21.5%
83,32,24,[50.7259985  1.6118771],376.32,small,50.7259985,1.6118771,Util. rate = 37.63%
84,32,25,[50.7009708   2.84730653],949.76,small,50.7009708,2.84730653,Util. rate = 94.98%
85,32,26,[49.3669433  2.7439069],215.04000000000002,small,49.3669433,2.7439069,Util. rate = 21.5%
86,32,27,[50.33598     2.78645137],663.04,small,50.33598,2.78645137,Util. rate = 66.3%
87,32,28,[50.4474101   2.90697127],1308.16,medium,50.4474101,2.90697127,Util. rate = 65.41%
88,32,29,[50.75309877  3.13546547],1792.0,medium,50.75309877,3.13546547,Util. rate = 89.6%
89,32,30,[51.0347708  2.3772525],788.48,small,51.0347708,2.3772525,Util. rate = 78.85%
90,44,0,[48.5911631  7.4625051],1146.88,medium,48.5911631,7.4625051,Util. rate = 57.34%
91,44,1,[48.54035674  7.68288518],1971.1999999999996,medium,48.54035674,7.68288518,Util. rate = 98.56%
92,44,2,[49.1515848  6.1519224],806.4,small,49.1515848,6.1519224,Util. rate = 80.64%
93,44,3,[49.0211111  0.325    ],179.2,small,49.0211111,0.325,Util. rate = 17.92%
94,44,4,[48.0414946   7.45930995],645.1199999999999,small,48.0414946,7.45930995,Util. rate = 64.51%
95,44,5,[48.34180047  3.89414533],1057.28,medium,48.34180047,3.89414533,Util. rate = 52.86%
96,44,6,[48.8911882  6.0924226],215.04000000000002,small,48.8911882,6.0924226,Util. rate = 21.5%
97,44,7,[49.18604607  4.0055725 ],1774.08,medium,49.18604607,4.0055725,Util. rate = 88.7%
98,44,8,[49.3043497  6.1041352],179.2,small,49.3043497,6.1041352,Util. rate = 17.92%
99,44,9,[49.1043397  6.7071754],143.35999999999999,small,49.1043397,6.7071754,Util. rate = 14.34%
100,44,10,[ 16.1876131 -15.2954502],143.35999999999999,small,,16.1876131-15.2954502,Util. rate = 14.34%
101,44,11,[48.1955731  6.4364631],215.04000000000002,small,48.1955731,6.4364631,Util. rate = 21.5%
102,44,12,[49.2162403  2.9549603],215.04000000000002,small,49.2162403,2.9549603,Util. rate = 21.5%
103,44,13,[48.71570047  6.15609183],824.3199999999999,small,48.71570047,6.15609183,Util. rate = 82.43%
104,44,14,[48.8659947  7.6823034],125.44,small,48.8659947,7.6823034,Util. rate = 12.54%
